A̱o,Trimestre,Ingresos (miles de pesos),Periodo
2022,3,67055930.0,Jul-Sept 2022
2022,2,60335724.0,Abr-Jun 2022
2022,1,55589996.0,Ene-Mar 2022
2021,4,45467890.0,Oct-Dic 2021
2021,3,42999944.0,Jul-Sept 2021
2021,2,38239668.0,Abr-Jun 2021
2021,1,36676372.0,Ene-Mar 2021
2020,4,33539704.0,Oct-Dic 2020
2020,3,31997444.0,Jul-Sept 2020
2020,2,32102476.0,Abr-Jun 2020
2020,1,29946216.0,Ene-Mar 2020
2019,4,24169252.0,Oct-Dic 2019
2019,3,21652748.0,Jul-Sept 2019
2019,2,20743118.0,Abr-Jun 2019
2019,1,20207414.0,Ene-Mar 2019
2018,4,16637687.0,Oct-Dic 2018
2018,3,15410981.0,Jul-Sept 2018
2018,2,14319467.0,Abr-Jun 2018
2018,1,13171459.0,Ene-Mar 2018
2017,4,11226127.0,Oct-Dic 2017
2017,3,10065998.0,Jul-Sept 2017
2017,2,9678647.0,Abr-Jun 2017
2017,1,8701201.0,Ene-Mar 2017
2016,4,7483980.0,Oct-Dic 2016
2016,3,6912442.0,Jul-Sept 2016
2016,2,6534241.0,Abr-Jun 2016
2016,1,5936845.0,Ene-Mar 2016
2015,4,5376899.0,Oct-Dic 2015
2015,3,5153739.0,Jul-Sept 2015
2015,2,4701791.0,Abr-Jun 2015
2015,1,4876385.0,Ene-Mar 2015
2014,4,3950441.0,Oct-Dic 2014
2014,3,3478638.0,Jul-Sept 2014
2014,2,3270816.0,Abr-Jun 2014
2014,1,2984054.0,Ene-Mar 2014
