Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,4715469,6199,4.721.668
2022,3,Capital Federal,1545534,2145,1.547.679
2022,3,Catamarca,70292,1,70.293
2022,3,Chaco,144141,5,144.146
2022,3,Chubut,164874,904,165.778
2022,3,Córdoba,1038600,68,1.038.668
2022,3,Corrientes,144842,4,144.846
2022,3,Entre Ríos,268937,22,268.959
2022,3,Formosa,68537,1,68.538
2022,3,Jujuy,118823,0,118.823
2022,3,La Pampa,115921,171,116.092
2022,3,La Rioja,86860,4,86.864
2022,3,Mendoza,288746,777,289.523
2022,3,Misiones,182157,0,182.157
2022,3,Neuquén,162693,468,163.161
2022,3,Río Negro,160010,548,160.558
2022,3,Salta,204536,5,204.541
2022,3,San Juan,103118,281,103.399
2022,3,San Luis,121888,182,122.070
2022,3,Santa Cruz,49312,198,49.510
2022,3,Santa Fe,887700,110,887.810
2022,3,Santiago Del Estero,119030,2,119.032
2022,3,Tierra Del Fuego,53584,312,53.896
2022,3,Tucumán,263087,30,263.117
2022,2,Buenos Aires,4660984,6199,4.667.183
2022,2,Capital Federal,1534626,2145,1.536.771
2022,2,Catamarca,67007,1,67.008
2022,2,Chaco,143559,5,143.564
2022,2,Chubut,161901,904,162.805
2022,2,Córdoba,1026367,68,1.026.435
2022,2,Corrientes,144993,4,144.997
2022,2,Entre Ríos,269330,22,269.352
2022,2,Formosa,67881,0,67.881
2022,2,Jujuy,115314,0,115.314
2022,2,La Pampa,111356,171,111.527
2022,2,La Rioja,86026,4,86.030
2022,2,Mendoza,278785,777,279.562
2022,2,Misiones,178813,0,178.813
2022,2,Neuquén,161500,468,161.968
2022,2,Río Negro,159216,548,159.764
2022,2,Salta,203172,5,203.177
2022,2,San Juan,100126,281,100.407
2022,2,San Luis,121559,182,121.741
2022,2,Santa Cruz,48987,198,49.185
2022,2,Santa Fe,878749,110,878.859
2022,2,Santiago Del Estero,118042,2,118.044
2022,2,Tierra Del Fuego,53458,312,53.770
2022,2,Tucumán,254497,30,254.527
2022,1,Buenos Aires,4549131,6293,4.555.424
2022,1,Capital Federal,1415378,2163,1.417.541
2022,1,Catamarca,62377,1,62.378
2022,1,Chaco,144114,5,144.119
2022,1,Chubut,170701,927,171.628
2022,1,Córdoba,1003729,74,1.003.803
2022,1,Corrientes,142574,4,142.578
2022,1,Entre Ríos,267904,22,267.926
2022,1,Formosa,54548,0,54.548
2022,1,Jujuy,116509,0,116.509
2022,1,La Pampa,109560,172,109.732
2022,1,La Rioja,84299,4,84.303
2022,1,Mendoza,274399,786,275.185
2022,1,Misiones,171508,0,171.508
2022,1,Neuquén,149208,471,149.679
2022,1,Río Negro,156821,553,157.374
2022,1,Salta,197510,5,197.515
2022,1,San Juan,87888,290,88.178
2022,1,San Luis,119659,185,119.844
2022,1,Santa Cruz,48898,204,49.102
2022,1,Santa Fe,870364,115,870.479
2022,1,Santiago Del Estero,116459,2,116.461
2022,1,Tierra Del Fuego,52298,313,52.611
2022,1,Tucumán,245554,30,245.584
2021,4,Buenos Aires,4502772,6385,4.509.157
2021,4,Capital Federal,1409935,2184,1.412.119
2021,4,Catamarca,59089,1,59.090
2021,4,Chaco,143740,5,143.745
2021,4,Chubut,159364,944,160.308
2021,4,Córdoba,986693,77,986.770
2021,4,Corrientes,135908,4,135.912
2021,4,Entre Ríos,265024,22,265.046
2021,4,Formosa,53663,0,53.663
2021,4,Jujuy,113915,0,113.915
2021,4,La Pampa,106834,173,107.007
2021,4,La Rioja,83124,4,83.128
2021,4,Mendoza,266783,804,267.587
2021,4,Misiones,171132,0,171.132
2021,4,Neuquén,146989,477,147.466
2021,4,Río Negro,153189,564,153.753
2021,4,Salta,199399,6,199.405
2021,4,San Juan,79667,291,79.958
2021,4,San Luis,118662,187,118.849
2021,4,Santa Cruz,48276,210,48.486
2021,4,Santa Fe,866265,176,866.441
2021,4,Santiago Del Estero,115859,2,115.861
2021,4,Tierra Del Fuego,52042,315,52.357
2021,4,Tucumán,238609,30,238.639
2021,3,Buenos Aires,4246425,5184,4.251.609
2021,3,Capital Federal,1411797,1608,1.413.405
2021,3,Catamarca,56253,1,56.254
2021,3,Chaco,139868,3,139.871
2021,3,Chubut,155266,800,156.066
2021,3,Córdoba,946726,62,946.788
2021,3,Corrientes,133816,3,133.819
2021,3,Entre Ríos,260360,15,260.375
2021,3,Formosa,52795,0,52.795
2021,3,Jujuy,111158,0,111.158
2021,3,La Pampa,100371,116,100.487
2021,3,La Rioja,82157,3,82.160
2021,3,Mendoza,255320,619,255.939
2021,3,Misiones,158528,0,158.528
2021,3,Neuquén,139436,373,139.809
2021,3,Río Negro,144084,501,144.585
2021,3,Salta,195831,2,195.833
2021,3,San Juan,79227,256,79.483
2021,3,San Luis,117716,148,117.864
2021,3,Santa Cruz,48779,197,48.976
2021,3,Santa Fe,841433,151,841.584
2021,3,Santiago Del Estero,115457,1,115.458
2021,3,Tierra Del Fuego,49934,289,50.223
2021,3,Tucumán,232447,25,232.472
2021,2,Buenos Aires,4127167,5184,4.132.351
2021,2,Capital Federal,1398747,1608,1.400.355
2021,2,Catamarca,55743,1,55.744
2021,2,Chaco,140726,3,140.729
2021,2,Chubut,138412,825,139.237
2021,2,Córdoba,930818,62,930.880
2021,2,Corrientes,129498,3,129.501
2021,2,Entre Ríos,257617,15,257.632
2021,2,Formosa,51551,0,51.551
2021,2,Jujuy,111848,0,111.848
2021,2,La Pampa,97551,116,97.667
2021,2,La Rioja,81599,3,81.602
2021,2,Mendoza,229052,619,229.671
2021,2,Misiones,156176,0,156.176
2021,2,Neuquén,137877,373,138.250
2021,2,Río Negro,143583,501,144.084
2021,2,Salta,191637,2,191.639
2021,2,San Juan,78677,256,78.933
2021,2,San Luis,122670,148,122.818
2021,2,Santa Cruz,48785,197,48.982
2021,2,Santa Fe,840449,151,840.600
2021,2,Santiago Del Estero,114089,1,114.090
2021,2,Tierra Del Fuego,35404,289,35.693
2021,2,Tucumán,233026,25,233.051
2021,1,Buenos Aires,4054936,5066,4.060.002
2021,1,Capital Federal,1378283,1390,1.379.673
2021,1,Catamarca,51967,1,51.968
2021,1,Chaco,139767,3,139.770
2021,1,Chubut,131515,825,132.340
2021,1,Córdoba,910826,55,910.881
2021,1,Corrientes,126622,3,126.625
2021,1,Entre Ríos,251950,13,251.963
2021,1,Formosa,50686,0,50.686
2021,1,Jujuy,110456,0,110.456
2021,1,La Pampa,96989,116,97.105
2021,1,La Rioja,52625,3,52.628
2021,1,Mendoza,218308,615,218.923
2021,1,Misiones,149387,0,149.387
2021,1,Neuquén,132862,373,133.235
2021,1,Río Negro,140667,501,141.168
2021,1,Salta,187572,2,187.574
2021,1,San Juan,78011,256,78.267
2021,1,San Luis,119006,148,119.154
2021,1,Santa Cruz,45868,197,46.065
2021,1,Santa Fe,825990,137,826.127
2021,1,Santiago Del Estero,111640,1,111.641
2021,1,Tierra Del Fuego,40133,289,40.422
2021,1,Tucumán,231890,22,231.912
2020,4,Buenos Aires,4028195,5066,4.033.261
2020,4,Capital Federal,1378140,1390,1.379.530
2020,4,Catamarca,52395,1,52.396
2020,4,Chaco,139088,3,139.091
2020,4,Chubut,129749,825,130.574
2020,4,Córdoba,902646,55,902.701
2020,4,Corrientes,125656,3,125.659
2020,4,Entre Ríos,247368,13,247.381
2020,4,Formosa,50206,0,50.206
2020,4,Jujuy,105851,0,105.851
2020,4,La Pampa,96779,116,96.895
2020,4,La Rioja,52775,3,52.778
2020,4,Mendoza,214838,615,215.453
2020,4,Misiones,147161,0,147.161
2020,4,Neuquén,132762,373,133.135
2020,4,Río Negro,140709,501,141.210
2020,4,Salta,187388,2,187.390
2020,4,San Juan,72340,256,72.596
2020,4,San Luis,119287,148,119.435
2020,4,Santa Cruz,40477,197,40.674
2020,4,Santa Fe,820676,137,820.813
2020,4,Santiago Del Estero,106668,1,106.669
2020,4,Tierra Del Fuego,39325,289,39.614
2020,4,Tucumán,231067,22,231.089
2020,3,Buenos Aires,3932211,5066,3.937.277
2020,3,Capital Federal,1371285,1390,1.372.675
2020,3,Catamarca,49903,1,49.904
2020,3,Chaco,133951,3,133.954
2020,3,Chubut,129202,825,130.027
2020,3,Córdoba,867417,55,867.472
2020,3,Corrientes,123388,3,123.391
2020,3,Entre Ríos,241482,13,241.495
2020,3,Formosa,49209,0,49.209
2020,3,Jujuy,106728,0,106.728
2020,3,La Pampa,93619,116,93.735
2020,3,La Rioja,52613,3,52.616
2020,3,Mendoza,207173,615,207.788
2020,3,Misiones,143186,0,143.186
2020,3,Neuquén,128862,373,129.235
2020,3,Río Negro,130966,501,131.467
2020,3,Salta,180844,2,180.846
2020,3,San Juan,77071,256,77.327
2020,3,San Luis,116417,148,116.565
2020,3,Santa Cruz,39084,197,39.281
2020,3,Santa Fe,802861,137,802.998
2020,3,Santiago Del Estero,105491,1,105.492
2020,3,Tierra Del Fuego,39366,289,39.655
2020,3,Tucumán,223854,22,223.876
2020,2,Buenos Aires,3772480,5066,3.777.546
2020,2,Capital Federal,1356431,1390,1.357.821
2020,2,Catamarca,47975,1,47.976
2020,2,Chaco,128129,3,128.132
2020,2,Chubut,107831,825,108.656
2020,2,Córdoba,836413,55,836.468
2020,2,Corrientes,118863,3,118.866
2020,2,Entre Ríos,234100,13,234.113
2020,2,Formosa,47932,0,47.932
2020,2,Jujuy,94316,0,94.316
2020,2,La Pampa,89693,116,89.809
2020,2,La Rioja,52152,3,52.155
2020,2,Mendoza,200569,615,201.184
2020,2,Misiones,140340,0,140.340
2020,2,Neuquén,125799,373,126.172
2020,2,Río Negro,128985,501,129.486
2020,2,Salta,177760,2,177.762
2020,2,San Juan,69521,256,69.777
2020,2,San Luis,113804,148,113.952
2020,2,Santa Cruz,38672,197,38.869
2020,2,Santa Fe,777795,137,777.932
2020,2,Santiago Del Estero,105446,1,105.447
2020,2,Tierra Del Fuego,38900,289,39.189
2020,2,Tucumán,217134,22,217.156
2020,1,Buenos Aires,3702985,5066,3.708.051
2020,1,Capital Federal,1352104,1390,1.353.494
2020,1,Catamarca,39634,1,39.635
2020,1,Chaco,120274,3,120.277
2020,1,Chubut,95938,800,96.738
2020,1,Córdoba,811044,55,811.099
2020,1,Corrientes,113967,3,113.970
2020,1,Entre Ríos,231833,13,231.846
2020,1,Formosa,46434,0,46.434
2020,1,Jujuy,91665,0,91.665
2020,1,La Pampa,89110,116,89.226
2020,1,La Rioja,48337,3,48.340
2020,1,Mendoza,182837,615,183.452
2020,1,Misiones,133552,0,133.552
2020,1,Neuquén,121354,373,121.727
2020,1,Río Negro,125699,501,126.200
2020,1,Salta,170379,2,170.381
2020,1,San Juan,63975,256,64.231
2020,1,San Luis,110404,148,110.552
2020,1,Santa Cruz,38625,197,38.822
2020,1,Santa Fe,770981,137,771.118
2020,1,Santiago Del Estero,102754,1,102.755
2020,1,Tierra Del Fuego,38505,289,38.794
2020,1,Tucumán,200045,22,200.067
2019,4,Buenos Aires,3681120,5134,3.686.254
2019,4,Capital Federal,1356695,1410,1.358.105
2019,4,Catamarca,38310,1,38.311
2019,4,Chaco,117900,3,117.903
2019,4,Chubut,95292,810,96.102
2019,4,Córdoba,806633,55,806.688
2019,4,Corrientes,113831,3,113.834
2019,4,Entre Ríos,239017,13,239.030
2019,4,Formosa,46711,0,46.711
2019,4,Jujuy,88881,0,88.881
2019,4,La Pampa,90280,119,90.399
2019,4,La Rioja,48999,3,49.002
2019,4,Mendoza,185157,623,185.780
2019,4,Misiones,135813,0,135.813
2019,4,Neuquén,116069,376,116.445
2019,4,Río Negro,126636,504,127.140
2019,4,Salta,172443,2,172.445
2019,4,San Juan,64715,259,64.974
2019,4,San Luis,108053,148,108.201
2019,4,Santa Cruz,39170,200,39.370
2019,4,Santa Fe,769019,150,769.169
2019,4,Santiago Del Estero,103587,1,103.588
2019,4,Tierra Del Fuego,40101,291,40.392
2019,4,Tucumán,198621,23,198.644
2019,3,Buenos Aires,3950114,10119,3.960.233
2019,3,Capital Federal,1437734,3477,1.441.211
2019,3,Catamarca,32391,9,32.400
2019,3,Chaco,114438,13,114.451
2019,3,Chubut,87481,1524,89.005
2019,3,Córdoba,782946,107,783.053
2019,3,Corrientes,112749,10,112.759
2019,3,Entre Ríos,238057,45,238.102
2019,3,Formosa,46066,0,46.066
2019,3,Jujuy,86575,1,86.576
2019,3,La Pampa,90559,269,90.828
2019,3,La Rioja,49659,18,49.677
2019,3,Mendoza,223015,1322,224.337
2019,3,Misiones,133883,0,133.883
2019,3,Neuquén,123435,1986,125.421
2019,3,Río Negro,143391,904,144.295
2019,3,Salta,151834,1,151.835
2019,3,San Juan,72535,563,73.098
2019,3,San Luis,122409,291,122.700
2019,3,Santa Cruz,37642,328,37.970
2019,3,Santa Fe,760706,228,760.934
2019,3,Santiago Del Estero,133130,2,133.132
2019,3,Tierra Del Fuego,48043,544,48.587
2019,3,Tucumán,164099,32,164.131
2019,2,Buenos Aires,3845594,10104,3.855.698
2019,2,Capital Federal,1412177,3443,1.415.620
2019,2,Catamarca,33626,9,33.635
2019,2,Chaco,108721,13,108.734
2019,2,Chubut,86038,1518,87.556
2019,2,Córdoba,775023,105,775.128
2019,2,Corrientes,111539,10,111.549
2019,2,Entre Ríos,235780,44,235.824
2019,2,Formosa,46438,0,46.438
2019,2,Jujuy,86706,1,86.707
2019,2,La Pampa,89937,268,90.205
2019,2,La Rioja,50283,18,50.301
2019,2,Mendoza,222535,1322,223.857
2019,2,Misiones,132878,0,132.878
2019,2,Neuquén,120954,1999,122.953
2019,2,Río Negro,137632,915,138.547
2019,2,Salta,142567,1,142.568
2019,2,San Juan,69461,564,70.025
2019,2,San Luis,117094,291,117.385
2019,2,Santa Cruz,30225,325,30.550
2019,2,Santa Fe,743258,226,743.484
2019,2,Santiago Del Estero,126752,2,126.754
2019,2,Tierra Del Fuego,46910,544,47.454
2019,2,Tucumán,166299,32,166.331
2019,1,Buenos Aires,3736563,10104,3.746.667
2019,1,Capital Federal,1396157,3443,1.399.600
2019,1,Catamarca,33613,9,33.622
2019,1,Chaco,103664,13,103.677
2019,1,Chubut,78260,1518,79.778
2019,1,Córdoba,744010,105,744.115
2019,1,Corrientes,102477,10,102.487
2019,1,Entre Ríos,232403,44,232.447
2019,1,Formosa,45211,0,45.211
2019,1,Jujuy,90146,1,90.147
2019,1,La Pampa,88892,268,89.160
2019,1,La Rioja,51638,18,51.656
2019,1,Mendoza,204976,1322,206.298
2019,1,Misiones,122720,0,122.720
2019,1,Neuquén,112321,2056,114.377
2019,1,Río Negro,120173,915,121.088
2019,1,Salta,136019,1,136.020
2019,1,San Juan,61881,564,62.445
2019,1,San Luis,96044,291,96.335
2019,1,Santa Cruz,24580,325,24.905
2019,1,Santa Fe,736851,227,737.078
2019,1,Santiago Del Estero,89851,2,89.853
2019,1,Tierra Del Fuego,45903,544,46.447
2019,1,Tucumán,171970,32,172.002
2018,4,Buenos Aires,3626502,10104,3.636.606
2018,4,Capital Federal,1385577,3443,1.389.020
2018,4,Catamarca,33574,9,33.583
2018,4,Chaco,103257,13,103.270
2018,4,Chubut,77204,1518,78.722
2018,4,Córdoba,737234,105,737.339
2018,4,Corrientes,100591,10,100.601
2018,4,Entre Ríos,222003,44,222.047
2018,4,Formosa,45204,0,45.204
2018,4,Jujuy,90132,1,90.133
2018,4,La Pampa,85368,268,85.636
2018,4,La Rioja,51633,18,51.651
2018,4,Mendoza,204982,1322,206.304
2018,4,Misiones,116273,0,116.273
2018,4,Neuquén,112309,2056,114.365
2018,4,Río Negro,115922,915,116.837
2018,4,Salta,134577,1,134.578
2018,4,San Juan,61834,564,62.398
2018,4,San Luis,96040,291,96.331
2018,4,Santa Cruz,24443,325,24.768
2018,4,Santa Fe,720161,229,720.390
2018,4,Santiago Del Estero,89333,2,89.335
2018,4,Tierra Del Fuego,45716,544,46.260
2018,4,Tucumán,171972,32,172.004
2018,3,Buenos Aires,3599714,10563,3.610.277
2018,3,Capital Federal,1385804,6686,1.392.490
2018,3,Catamarca,34215,11,34.226
2018,3,Chaco,102021,12,102.033
2018,3,Chubut,101310,2426,103.736
2018,3,Córdoba,725764,94,725.858
2018,3,Corrientes,99445,11,99.456
2018,3,Entre Ríos,204560,48,204.608
2018,3,Formosa,44865,0,44.865
2018,3,Jujuy,44934,1,44.935
2018,3,La Pampa,83180,244,83.424
2018,3,La Rioja,51855,17,51.872
2018,3,Mendoza,205545,1484,207.029
2018,3,Misiones,108042,0,108.042
2018,3,Neuquén,114713,2005,116.718
2018,3,Río Negro,112433,1059,113.492
2018,3,Salta,132882,1,132.883
2018,3,San Juan,63823,658,64.481
2018,3,San Luis,74121,300,74.421
2018,3,Santa Cruz,33565,434,33.999
2018,3,Santa Fe,694883,217,695.100
2018,3,Santiago Del Estero,86358,2,86.360
2018,3,Tierra Del Fuego,45056,508,45.564
2018,3,Tucumán,171135,31,171.166
2018,2,Buenos Aires,3490134,10565,3.500.699
2018,2,Capital Federal,1362498,6688,1.369.186
2018,2,Catamarca,34078,11,34.089
2018,2,Chaco,98509,12,98.521
2018,2,Chubut,98137,2427,100.564
2018,2,Córdoba,712979,94,713.073
2018,2,Corrientes,97946,11,97.957
2018,2,Entre Ríos,199937,48,199.985
2018,2,Formosa,44554,0,44.554
